"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"H7,H5,H10,H11,H4,H8,H9,H6";"MountingHole_2.2mm_M2_ISO14580_Pad";8;"MountingHole";;;
2;"SW19,SW20,SW25,SW41,SW8,SW30,SW4,SW17,SW23,SW33,SW3,SW12,SW35,SW29,SW10,SW15,SW7,SW37,SW38,SW27";"SW_MX_1u";20;"MX_SW_solder";;;
3;"C13,C11,C15,C6,C16,C12,C3,C14,C5,C17";"C_0402_1005Metric";10;"100nF";;;
4;"R5";"R_0603_1608Metric";1;"5.6k";;;
5;"U1";"SOT-23";1;"XC6206";;;
6;"C2,C1,C4,C10";"C_0402_1005Metric";4;"1uF";;;
7;"R6";"R_0603_1608Metric";1;"10k";;;
8;"R4";"R_0402_1005Metric";1;"470";;;
9;"R2,R3";"R_0402_1005Metric";2;"5.1k";;;
10;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"12MHz";;;
11;"C8,C7";"C_0402_1005Metric";2;"22pF";;;
12;"F1";"Fuse_1206_3216Metric";1;"500 mA";;;
13;"D2,D1";"CUSTOM D_SOD-123";2;"Schottky Diode";;;
14;"R1";"R_0603_1608Metric";1;"1M";;;
15;"C9";"C_0402_1005Metric";1;"10uF";;;
16;"D3";"LED_0805_2012Metric";1;"GREEN";;;
17;"R11,R10";"R_0402_1005Metric";2;"1k";;;
18;"R9,R8";"R_0603_1608Metric";2;"27";;;
19;"J2";"CON_TC2030_outlined";1;"JTAG_TC2030";;;
20;"U3";"RP2040-QFN-56";1;"RP2040";;;
21;"R7";"R_0402_1005Metric";1;"10k";;;
22;"U2";"SOT-23-6";1;"USBLC6-2SC6";;;
23;"J1";"TYPE-C_24P_QCHT";1;"USB C Connector";;;
24;"U4";"SOIC-8_5.23x5.23mm_P1.27mm";1;"W25Q128JVS";;;
25;"SW5,SW13,SW21,SW2,SW32,SW6,SW40,SW11,SW14,SW9,SW36,SW31,SW28,SW24,SW18,SW39,SW22,SW26,SW16,SW34";"SW_MX_HS_1u";20;"MX_SW_HS";;;
